year,annual-min,jan-min,feb-min,mar-min,apr-min,may-min,jun-min,jul-min,aug-min,sep-min,oct-min,nov-min,dec-min,annual-max,jan-max,feb-max,mar-max,apr-max,may-max,jun-max,jul-max,aug-max,sep-max,oct-max,nov-max,dec-max,annual-mean,jan-mean,feb-mean,mar-mean,apr-mean,may-mean,jun-mean,jul-mean,aug-mean,sep-mean,oct-mean,nov-mean,dec-mean,jun-rain,jul-rain,aug-rain,sept-rain
1901,19.51,13.58,14.72,17.91,20.93,23.18,24.05,23.82,23.58,22.09,20.2,16.16,13.41,28.96,22.4,24.14,29.07,31.91,33.41,33.18,31.21,30.39,30.47,29.97,27.31,24.49,24.23,17.99,19.43,23.49,26.41,28.28,28.6,27.49,26.98,26.26,25.08,21.73,18.95,99.3,295.4,354.8,113.8
1902,19.44,13.08,14.2,18.44,21.3,23.63,23.97,23.68,23.34,22.11,19.63,16.35,13.53,29.22,24.93,26.58,29.77,31.78,33.73,32.91,30.92,30.73,29.8,29.12,26.31,24.04,24.33,19,20.39,24.1,26.54,28.68,28.44,27.29,27.05,25.95,24.37,21.33,18.78,62.3,334.2,237.6,216
1903,19.25,13.2,14.55,17.12,20.67,22.95,23.85,23.53,23.29,22.84,20.12,15.84,12.93,28.47,23.44,25.03,27.83,31.39,32.91,33,31.34,29.98,29.85,29.04,26.08,23.65,23.8,18.32,19.79,22.46,26.03,27.93,28.41,28.04,26.63,26.34,24.57,20.96,18.29,96.2,392.7,286.6,211.5
1904,19.22,13.04,14.07,17.7,21.42,23.02,23.64,23.35,23.03,21.65,19.5,15.77,14.06,28.49,22.5,24.73,28.21,32.02,32.64,32.07,30.36,30.09,30.04,29.2,26.36,23.63,23.86,17.77,19.39,22.95,26.73,27.83,27.85,26.84,26.73,25.84,24.36,21.07,18.84,180.5,259.1,200.9,165.8
1905,19.03,12.83,12.74,16.88,19.62,23.32,24.13,23.93,24.31,22.47,21.65,16.63,13.59,28.3,22,22.83,26.68,30.01,33.32,33.25,31.44,30.68,30.12,30.67,27.52,23.82,23.71,17.4,17.79,21.78,24.84,28.32,28.69,27.67,27.47,26.29,26.16,22.07,18.71,59.8,340.6,178.9,204.1
1906,19.51,12.73,14.59,17.12,21.12,24.01,23.85,23.92,23.35,22.54,19.96,16.3,14.39,28.73,22.28,23.69,27.31,31.93,34.11,32.19,31.01,30.3,29.92,29.55,27.6,24.72,24.12,17.5,19.14,22.21,26.53,29.06,28.02,27.46,26.82,26.23,24.75,21.93,19.55,221.9,361.9,234,192.1
1907,19.08,14.07,14.85,17.05,22.17,22.39,23.4,23.51,23.19,21.84,19.55,16.37,12.5,28.65,24.46,24.01,27.04,31.79,32.68,31.92,31.05,29.58,30.67,29.87,27.78,24.44,23.87,19.27,19.42,22.03,26.98,27.52,27.66,27.28,26.38,26.26,24.72,22.11,18.46,151.9,270.1,407,77.1
1908,19.09,13.14,14.21,17.04,21.69,23.1,23.87,23.71,23.29,21.91,19.17,15.24,12.59,28.83,23.57,25.26,28.86,32.42,33.02,33.12,30.61,29.55,29.59,29.35,26.88,23.73,23.95,18.35,19.73,22.93,27.06,28.07,28.49,27.16,26.41,25.74,24.25,21.06,18.15,148.6,401.3,384.4,136.7
1909,19.13,12.91,13.75,17.59,20.75,22.88,23.62,23.33,23.07,21.86,19.49,16.32,14.03,28.38,22.67,24.36,29.22,30.79,33.06,31.7,29.81,29.81,30.06,29.25,27.69,23.69,23.78,17.79,19.05,23.4,25.76,27.97,27.67,26.56,26.43,25.47,24.37,22.01,18.86,210.4,375.3,197.5,162.7
1910,19.01,13.04,14.31,17.32,20.49,23.22,23.61,23.47,23.36,22.16,19.17,15.13,12.76,28.53,23.24,25.16,28.48,31.42,33.51,31.84,30.42,29.86,29.82,28.91,26.32,23.37,23.77,18.14,19.72,22.9,25.96,28.36,27.72,26.93,26.61,25.98,24.04,20.72,18.05,243.4,255.6,326.7,228.6
